Defender Mixed Utility,Expected Utility of Defender Oracle vs Attacker Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle vs Defender Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
-37.76779772,-31.43634926,-37.76779772,"[0.0, 0.0, 0.6749348721797792, 0.3250651278202208, 0.0]",37.76779772,75.44764147,37.76779772,"[0.0, 0.0, 0.7870462780054797, 0.21295372199452034, 0.0]"
-60.97217112,0.897280965,-60.97217112,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",60.97217112,79.91025111,60.97217112,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
-8.937674995,11.16479297,-8.937674995,"[0.0, 0.0, 0.0, 0.15896303634740627, 0.0, 0.0, 0.8410369636525937]",8.937674995,48.69957408,8.937674995,"[0.5013040942253867, 0.0, 0.0, 0.0, 0.0, 0.4986959057746133, 0.0]"
-28.11212984,-16.37442162,-28.11212984,"[0.0, 0.0, 0.0, 0.0, 0.468881003913533, 0.0, 0.0, 0.5311189960864671]",28.11212984,50.80646998,28.11212984,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4527163256552152, 0.0, 0.5472836743447849]"
-20.46221456,-30.07496432,-20.46221456,"[0.0, 0.0, 0.0, 0.0, 0.3452349230087202, 0.0, 0.0014630873187996274, 0.0015635810842335811, 0.6517384085882466]",20.46221456,15.63720086,20.46221456,"[0.1584241783134396, 0.0, 0.0, 0.20128953371702057, 0.0, 0.23971737311762537, 0.0, 0.40056891485191454, 0.0]"
-20.46221456,-11.15910393,-20.46221456,"[0.0, 0.0, 0.0, 0.0, 0.3452349230087202, 0.0, 0.0014630873187996274, 0.0015635810842335811, 0.6517384085882466, 0.0]",20.46221456,20.46221456,20.46221456,"[0.1584241783134396, 0.0, 0.0, 0.20128953371702057, 0.0, 0.23971737311762537, 0.0, 0.40056891485191454, 0.0, 0.0]"
-19.46943881,-14.03381247,-19.46943881,"[0.0, 0.0, 0.2043523242294002, 0.0, 0.05399702111156274, 0.0, 0.0, 0.15807221249146544, 0.0, 0.0, 0.5835784421675717]",19.46943881,19.46943881,19.46943881,"[0.0898916187107051, 0.0, 0.0, 0.0, 0.0, 0.3305640071935846, 0.0, 0.4323779191291023, 0.0, 0.14716645496660813, 0.0]"
-18.29197194,-19.0423851,-18.29197194,"[0.0, 0.0, 0.0, 0.0, 0.3101571495984062, 0.0, 0.0486763412652047, 0.05300432091398463, 0.0, 0.0, 0.33862613342075165, 0.24953605480165286]",18.29197194,31.8480623,18.29197194,"[0.0, 0.15407679881390388, 0.0, 0.0, 0.0, 0.36707005126561987, 0.0, 0.0, 0.0, 0.12461497388675244, 0.0, 0.35423817603372376]"
-19.5918185,-19.5918185,-19.5918185,"[0.0, 0.0, 0.0, 0.0, 0.3311666545675055, 0.0, 0.0, 0.02722447544940952, 0.4258007283937818, 0.0, 0.20497804132120845, 0.010830100268094722, 0.0]",19.5918185,29.23467661,19.5918185,"[0.151421275597794, 0.0, 0.0, 0.0, 0.0, 0.23261948016109174, 0.0, 0.0, 0.0, 0.13908162515888053, 0.0, 0.36006561460476216, 0.11681200447747164]"
-20.70872089,-20.70872089,-20.70872089,"[0.0, 0.0, 0.0, 0.0, 0.19276682581799673, 0.0, 0.0, 0.0, 0.0, 0.09742212833585676, 0.4743062743831238, 0.15025586110787414, 0.08524891035514859, 0.0]",20.70872089,20.70872089,20.70872089,"[0.1863105492313105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33981786124732016, 0.0, 0.0, 0.0, 0.0, 0.20831759329943678, 0.26555399622193254]"
