Defender Utility,Attacker Utility
-31.68629754,31.68629754
-33.15859448,33.15859448
-35.89947349,35.89947349
-37.91680169,37.91680169
-36.55201891,36.55201891
-34.36798632,34.36798632
-34.67066317,34.67066317
-34.67066317,34.67066317
-34.67066317,34.67066317
-33.92774866,33.92774866
-33.92774866,33.92774866
-33.92774866,33.92774866
-33.17708058,33.17708058
-33.17708058,33.17708058
-33.52705673,33.52705673
-32.92837629,32.92837629
-32.92837629,32.92837629
-32.92837629,32.92837629
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.90785385,32.90785385
-32.84368808,32.84368808
-32.75907712,32.75907712
-32.75907712,32.75907712
-32.75907712,32.75907712
-32.75907712,32.75907712
-32.75907712,32.75907712
-32.75907712,32.75907712
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.72917413,32.72917413
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
-32.76398545,32.76398545
