iteration,action list,network estimate list,action chosen
26,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
27,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
28,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
29,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
30,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
31,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
32,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
33,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
34,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
35,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
36,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
37,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
38,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
39,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
40,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
41,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
42,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
43,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
44,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
45,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
46,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
47,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2686443626880646, -0.2696695923805237, -0.2710747718811035, -0.26741573214530945]","[0, 0, 0, 1]"
48,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.2699034512042999, -0.27091413736343384, -0.2722087800502777, -0.2685320973396301]","[0, 0, 0, 1]"
49,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.2952551245689392, -0.2962073087692261, -0.2916094958782196, -0.2970724403858185, -0.29381823539733887, -0.29356855154037476]","[1, 0, 0, 1]"
