Defender Mixed Utility,Expected Utility of Defender Oracle vs Attacker Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle vs Defender Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
-5.077240457,-10.4934027,-1.46646563,"[0.15399721647905934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20409622861464496, 0.0, 0.05338191950431559, 0.0, 0.5152951732140066, 0.0, 0.053381919504315645, 0.0, 0.0, 0.019847542683657654, 0.0]",5.077240457,-4.107955053,6.343047522,"[0.38068615760493163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1262446050837785, 0.0, 0.0, 0.0, 0.2729262633460422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19882256283266486, 0.0, 0.0, 0.02132041113258279, 0.0, 0.0, 0.0]"
-5.077240457,-2.89683624,-2.66388464,"[0.15399721647905934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20409622861464496, 0.0, 0.05338191950431559, 0.0, 0.5152951732140066, 0.019847542683657654, 0.053381919504315645, 0.0, 0.0, 0.0, 0.0, 0.0]",5.077240457,-2.517601934,6.849370348,"[0.38068615760493163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1262446050837785, 0.0, 0.0, 0.0, 0.2729262633460422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19882256283266486, 0.0, 0.0, 0.02132041113258279, 0.0, 0.0, 0.0, 0.0]"
-4.951105438,-14.26654213,2.065561976,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1501938082455368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20882436306278046, 0.0, 0.165975755594511, 0.0, 0.0, 0.0, 0.07446546626546896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4005406068317029]",4.951105438,19.19319383,4.951105438,"[0.36988572886404214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13511891323889325, 0.0, 0.0, 0.0, 0.27243663190949174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19751975002969357, 0.0, 0.0, 0.025038975957879267, 0.0, 0.0, 0.0, 0.0, 0.0]"
-6.093421296,-6.093421296,-3.690349233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43284654500177117, 0.0, 0.0, 0.0, 0.0, 0.04329170613537716, 0.0, 0.0, 0.09227240288470794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4315893459781438, 0.0]",6.093421296,1.676194192,10.5106484,"[0.29069106828389074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10618917727753024, 0.0, 0.0, 0.0, 0.34633293394542036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17490762352988576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08187919696327278]"
-6.093421296,7.822418204,-3.221229877,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43284654500177117, 0.0, 0.0, 0.0, 0.0, 0.04329170613537716, 0.0, 0.0, 0.09227240288470794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4315893459781438, 0.0, 0.0]",6.093421296,6.093421296,10.5106484,"[0.29069106828389074, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10618917727753024, 0.0, 0.0, 0.0, 0.34633293394542036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17490762352988576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08187919696327278, 0.0]"
-4.477822901,-3.56866682,-3.376068802,"[0.0, 0.0, 0.0, 0.0, 0.26262777638011425, 0.0, 0.0, 0.0, 0.0, 0.03644065889878906, 0.0, 0.008866361435381328, 0.09688336437048971, 0.0, 0.0, 0.0, 0.44375912478261764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.151422714132608]",4.477822901,4.477822901,6.657984736,"[0.15304423116980934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07652211558490464, 0.0, 0.16024350655306746, 0.0, 0.328195495319785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1617000103843299, 0.0, 0.04872313575220444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07157150523589906, 0.0, 0.0]"
-4.430520007,-16.6033491,0.513567997,"[0.0, 0.0, 0.0, 0.0, 0.23675693773394785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02942665200332903, 0.11156099976381564, 0.0, 0.0, 0.0, 0.4251523741310211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14507358342744542, 0.052029452940441034]",4.430520007,3.76494969,5.474894003,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.04852858147357611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05988428025550151, 0.0, 0.0, 0.0]"
-4.430520007,-4.430520007,0.547757946,"[0.0, 0.0, 0.0, 0.0, 0.23675693773394785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029426652003329043, 0.11156099976381566, 0.0, 0.0, 0.0, 0.42515237413102114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14507358342744542, 0.05202945294044098, 0.0]",4.430520007,4.430520007,6.519267998,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.04852858147357611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05988428025550151, 0.0, 0.0, 0.0, 0.0]"
-4.430520007,-4.430520007,-3.194498006,"[0.0, 0.0, 0.0, 0.0, 0.23675693773394785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1115609997638156, 0.0, 0.0, 0.0, 0.4251523741310211, 0.029426652003329057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1450735834274454, 0.05202945294044106, 0.0, 0.0]",4.430520007,4.430520007,5.474894003,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.04852858147357611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05988428025550151, 0.0, 0.0, 0.0, 0.0, 0.0]"
-4.430520007,-12.48217073,-2.576487006,"[0.005735900416451766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156099976381571, 0.0, 0.0, 0.0, 0.4251523741310211, 0.029426652003329043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14507358342744547, 0.05202945294044076, 0.0, 0.0, 0.23102103731749613]",4.430520007,4.430520007,5.528159015,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059884280255501514, 0.0, 0.0, 0.0, 0.0, 0.0485285814735761, 0.0]"
-4.430520007,-3.79787339,-2.954344567,"[0.005735900416451766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156099976381571, 0.0, 0.0, 0.0, 0.4251523741310211, 0.029426652003329043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14507358342744547, 0.05202945294044076, 0.0, 0.0, 0.23102103731749613, 0.0]",4.430520007,4.430520007,7.563641994,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059884280255501514, 0.0, 0.0, 0.0, 0.0, 0.0485285814735761, 0.0, 0.0]"
-4.430520007,7.742309084,-2.804818655,"[0.005735900416451766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11156099976381571, 0.0, 0.0, 0.0, 0.4251523741310211, 0.0, 0.0, 0.0, 0.0, 0.029426652003329043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14507358342744547, 0.05202945294044076, 0.0, 0.0, 0.23102103731749613, 0.0, 0.0]",4.430520007,4.457722263,4.529723001,"[0.1716953329563792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08584766647818953, 0.0, 0.14917503008842564, 0.0, 0.31860676257554854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1662623461723794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059884280255501514, 0.0, 0.0, 0.0, 0.0, 0.0485285814735761, 0.0, 0.0, 0.0]"
-3.104256981,-9.924232118,-0.587673857,"[0.0450612102078776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3899582715798939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1330643959378053, 0.09266854463875254, 0.0, 0.0, 0.2207329371659131, 0.0, 0.0, 0.11851464046975749]",3.104256981,3.104256981,5.145534916,"[0.0, 0.220212348372106, 0.0, 0.0, 0.0, 0.0, 0.24303610980379853, 0.0, 0.0, 0.0, 0.2466013824120083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1844967723231293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10565338708895794, 0.0]"
-3.104256981,-1.18129682,0.394940972,"[0.0450612102078776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3899582715798939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1330643959378053, 0.09266854463875254, 0.0, 0.0, 0.2207329371659131, 0.0, 0.0, 0.11851464046975749, 0.0]",3.104256981,3.104256981,5.020098467,"[0.0, 0.22021234837210596, 0.0, 0.0, 0.0, 0.0, 0.24303610980379847, 0.0, 0.0, 0.0, 0.2466013824120083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10565338708895787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18449677232312928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-3.104256981,-10.22457882,-0.587673857,"[0.0450612102078776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3899582715798939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1330643959378053, 0.09266854463875254, 0.0, 0.0, 0.2207329371659131, 0.0, 0.0, 0.11851464046975749, 0.0, 0.0]",3.104256981,3.104256981,4.278604664,"[0.07237881783481448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17970464419833587, 0.0, 0.2111649961427542, 0.0, 0.24660138241200835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18449677232312933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10565338708895788, 0.0, 0.0, 0.0]"
-3.104256981,-12.49069641,-2.074496869,"[0.0450612102078776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3899582715798939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1330643959378053, 0.09266854463875254, 0.0, 0.0, 0.2207329371659131, 0.0, 0.0, 0.11851464046975749, 0.0, 0.0, 0.0]",3.104256981,10.07158301,5.914378591,"[0.07237881783481438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17970464419833593, 0.0, 0.21116499614275414, 0.0, 0.2466013824120083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10565338708895784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18449677232312928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-3.807729923,-38.47290084,-3.807729923,"[0.0, 0.0, 0.0, 0.0, 0.30324888268567624, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22006062755911537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1420723408153598, 0.0, 0.0, 0.004657409884568657, 0.0, 0.0, 0.0, 0.04767244137115523, 0.0, 0.2597644566364273, 0.0, 0.0, 0.02252384104769739, 0.0]",3.807729923,3.807729923,4.132505347,"[0.0, 0.0, 0.052224909505065024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06480907436882827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033794863063516055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10082531328729208, 0.048487420959876244, 0.0, 0.0, 0.6998584188154224]"
