Defender Mixed Utility,Expected Utility of Defender Oracle vs Attacker Mixed,Expected Utility of Best Defender Pure Strategy,Defender Mixed Strategy,Attacker Mixed Utility,Expected Utility of Attacker Oracle vs Defender Mixed,Expected Utility of Best Attacker Pure Strategy,Attacker Mixed Strategy
-65.12997,-2.158784759,-58.22065264,"[0.0, 0.0, 0.0, 0.33424127658688113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6657587234131188]",65.12997,64.4980493,64.5714067,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
-43.67634115,-29.98228111,-34.45300554,"[0.0, 0.0, 0.0, 0.35939834935158604, 0.0, 0.05300449386952433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15362472834530244, 0.0, 0.0, 0.0, 0.0, 0.43397242843358724]",43.67634115,42.43474252,45.68412868,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0734223529646877, 0.0, 0.27747293531771744, 0.0, 0.0, 0.0, 0.23082970596114477, 0.4182750057564501]"
-38.36074137,-42.15638327,-36.73107634,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09535886982822331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2496039462453965, 0.6550371839263802]",38.36074137,60.43822432,40.6957959,"[0.0, 0.09785463781353548, 0.0, 0.0, 0.0, 0.24948545917635348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6526599030101111, 0.0]"
-39.45539484,-17.09361518,-37.64775016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023848075433395705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15253685864150812, 0.5463244109361156, 0.2772906549889804]",39.45539484,39.45539484,39.45539484,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2767323683596471, 0.08813614848591195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5855491336853325, 0.0, 0.04958234946910837]"
-39.27663863,-43.17853366,-34.89659349,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03760467948312517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1301989951535219, 0.5189662577908783, 0.2594742821657437, 0.053755785406730816]",39.27663863,47.88434422,40.88806705,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06993779986683413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21585983340725656, 0.07400818052432656, 0.0, 0.0, 0.0, 0.5882021506158956, 0.05199203558568728, 0.0]"
-39.9050494,-17.21170955,-34.8484706,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25926250961894187, 0.40664099953480976, 0.21608772831685633, 0.1180087625293921, 0.0]",39.9050494,40.3652663,39.9050494,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3907400942495262, 0.0, 0.0, 0.0, 0.0, 0.45675966714548977, 0.06758302926728874, 0.0, 0.08491720933769523]"
-35.84064812,-31.52636365,-30.91658317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05801475494461383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.033628555344803995, 0.0, 0.3271299157830033, 0.11540815868290008, 0.0, 0.21328360357264997, 0.0, 0.25253501167202874]",35.84064812,44.93385925,41.65030233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16707369744811518, 0.22629977702995485, 0.2672766681079881, 0.0, 0.07815515026058434, 0.0, 0.11445271058714361, 0.1467419965662139, 0.0, 0.0, 0.0]"
-35.04895964,-59.34537625,-32.41246893,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10891532497629036, 0.0, 0.0, 0.0, 0.041923983633683895, 0.0, 0.20871443227141812, 0.13394251884852085, 0.05304571123653529, 0.15473368072923613, 0.0, 0.13893542321129876, 0.1597889250930165]",35.04895964,34.22261383,40.5492149,"[0.0, 0.0, 0.08831369392897429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056152023102342616, 0.2714012917845889, 0.2760679792603097, 0.0, 0.0, 0.0, 0.013103120236443278, 0.0, 0.15843173911766337, 0.0, 0.039255634961273975, 0.09727451760840389]"
-35.04895964,-30.05894168,-33.79920101,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10891532497629036, 0.0, 0.0, 0.0, 0.041923983633683895, 0.0, 0.20871443227141812, 0.13394251884852085, 0.05304571123653529, 0.15473368072923613, 0.0, 0.13893542321129876, 0.1597889250930165, 0.0]",35.04895964,29.7507905,38.2536127,"[0.0, 0.0, 0.08831369392897429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056152023102342616, 0.2714012917845889, 0.2760679792603097, 0.0, 0.0, 0.0, 0.013103120236443278, 0.0, 0.15843173911766337, 0.0, 0.039255634961273975, 0.09727451760840389, 0.0]"
-34.77396766,-34.92002231,-30.44121165,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05988110367735235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08815499560126153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19161811515421717, 0.12781453105475646, 0.06609763336652957, 0.0, 0.0, 0.14239832126657817, 0.16724769644665505, 0.0, 0.15678760343264975]",34.77396766,44.04755022,39.31856021,"[0.0, 0.0, 0.0857098874393911, 0.0, 0.0, 0.0, 0.26169477687650705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20882206300985826, 0.12399141842109737, 0.0, 0.0, 0.0, 0.0, 0.06916770691244585, 0.0, 0.09420691693648883, 0.0, 0.08713862567791987, 0.0692686047262917, 0.0, 0.0]"
