Rewards,[44.75014742 17.26701046 41.24022703  3.04313466]
Penalties,[ 6.27517732 30.15755115 26.96105075 21.521564  ]
defenderID,attackerID,Value(Defender payoff)
22,4,-4.254553539518381
22,5,-4.254553539518381
22,6,-4.254553539518381
22,7,-4.254553539518381
22,8,-4.254553539518381
22,9,-4.254553539518381
22,10,23.228583421088018
22,11,23.228583421088018
22,12,23.228583421088018
22,13,23.228583421088018
22,14,23.228583421088018
22,15,23.228583421088018
22,16,-48.48261474672432
22,17,17.78909667291582
22,18,17.78909667291582
22,19,17.78909667291582
22,20,17.78909667291582
22,21,17.78909667291582
0,22,34.965049712971336
1,22,34.965049712971336
2,22,85.99037445019782
3,22,85.99037445019782
4,22,34.965049712971336
5,22,34.965049712971336
6,22,60.477712081584585
7,22,34.965049712971336
8,22,34.965049712971336
9,22,31.429352228372228
10,22,17.78909667291582
11,22,17.78909667291582
12,22,34.965049712971336
13,22,17.78909667291582
14,22,-33.23622806431069
15,22,-33.23622806431069
16,22,-33.23622806431069
17,22,17.78909667291582
18,22,17.78909667291582
19,22,34.965049712971336
20,22,-33.23622806431069
21,22,17.78909667291582
22,22,17.78909667291582
23,0,-27.966834342450106
23,1,-37.4517466636228
23,2,-51.67911514538183
23,3,-7.518245588421697
23,4,-51.67911514538183
23,5,-46.93665898479549
23,6,-4.254553539518381
23,7,-51.67911514538183
23,8,-51.67911514538183
23,9,-51.67911514538183
23,10,23.228583421088018
23,11,23.228583421088018
23,12,23.228583421088018
23,13,23.228583421088018
23,14,23.228583421088018
23,15,23.228583421088018
23,16,-48.48261474672432
23,17,17.78909667291582
23,18,17.78909667291582
23,19,17.78909667291582
23,20,17.78909667291582
23,21,17.78909667291582
23,22,17.78909667291582
0,23,10.991833142895251
1,23,10.991833142895251
2,23,14.592596274258309
3,23,14.592596274258309
4,23,10.991833142895251
5,23,10.991833142895251
6,23,2.2270734479951733
7,23,10.991833142895251
8,23,10.991833142895251
9,23,14.592596274258309
10,23,14.592596274258309
11,23,62.01715788012176
12,23,-36.4327284629682
13,23,62.01715788012176
14,23,10.991833142895253
15,23,10.991833142895253
16,23,10.991833142895253
17,23,62.01715788012176
18,23,62.01715788012176
19,23,10.991833142895253
20,23,10.991833142895253
21,23,14.592596274258309
22,23,62.01715788012176
23,23,14.592596274258309
24,0,5.571325924406942
24,1,20.310145120294923
24,2,20.310145120294923
24,3,-9.150091612873357
24,4,20.310145120294923
24,5,20.310145120294923
24,6,-4.254553539518381
24,7,20.310145120294923
24,8,20.310145120294923
24,9,17.853675254313593
24,10,-3.232042656325184
24,11,-3.232042656325184
24,12,-3.232042656325184
24,13,-3.232042656325184
24,14,-3.232042656325184
24,15,-3.232042656325184
24,16,-23.917916086911013
24,17,-33.23622806431069
24,18,-33.23622806431069
24,19,-33.23622806431069
24,20,-33.23622806431069
24,21,-33.23622806431069
24,22,-33.23622806431069
24,23,10.991833142895253
0,24,-4.254553539518381
1,24,-4.254553539518381
2,24,-51.67911514538183
3,24,-51.67911514538183
4,24,-4.254553539518381
5,24,-4.254553539518381
6,24,-23.224378181863763
7,24,-18.481922021277416
8,24,-4.254553539518381
9,24,-51.67911514538183
10,24,-27.114416485568526
11,24,-4.25455353951838
12,24,-27.114416485568526
13,24,-4.25455353951838
14,24,-27.114416485568526
15,24,-27.114416485568526
16,24,20.310145120294926
17,24,-4.25455353951838
18,24,-4.25455353951838
19,24,20.310145120294926
20,24,20.310145120294926
21,24,-4.25455353951838
22,24,-4.25455353951838
23,24,-51.67911514538183
24,24,20.310145120294926
25,0,-8.82652612872841
25,1,-27.114416485568533
25,2,-27.114416485568533
25,3,45.95487928376947
25,4,-27.114416485568533
25,5,-27.114416485568533
25,6,-8.82652612872841
25,7,-27.114416485568533
25,8,-27.114416485568533
25,9,-27.114416485568533
25,10,-3.232042656325184
25,11,-3.232042656325184
25,12,-3.232042656325184
25,13,-3.232042656325184
25,14,-3.232042656325184
25,15,-3.232042656325184
25,16,-48.48261474672432
25,17,17.78909667291582
25,18,17.78909667291582
25,19,34.965049712971336
25,20,34.965049712971336
25,21,17.78909667291582
25,22,34.965049712971336
25,23,-36.4327284629682
25,24,-27.114416485568526
0,25,19.718663030557703
1,25,19.718663030557703
2,25,19.718663030557703
3,25,19.718663030557703
4,25,19.718663030557703
5,25,19.718663030557703
6,25,19.718663030557703
7,25,19.718663030557703
8,25,19.718663030557703
9,25,19.718663030557703
10,25,-23.917916086911013
11,25,-48.48261474672432
12,25,-23.917916086911013
13,25,19.7186630305577
14,25,-23.917916086911013
15,25,-23.917916086911013
16,25,-23.917916086911013
17,25,-48.48261474672432
18,25,-48.48261474672432
19,25,-23.917916086911013
20,25,-23.917916086911013
21,25,-48.48261474672432
22,25,-48.48261474672432
23,25,19.7186630305577
24,25,-23.917916086911013
25,25,44.28336169037101
26,0,0.6583861924442814
26,1,20.310145120294923
26,2,20.310145120294923
26,3,-9.694040287690575
26,4,20.310145120294923
26,5,20.310145120294923
26,6,-1.7980836735370491
26,7,20.310145120294923
26,8,20.310145120294923
26,9,20.310145120294923
26,10,-3.232042656325184
26,11,-3.232042656325184
26,12,-3.232042656325184
26,13,-3.232042656325184
26,14,-3.232042656325184
26,15,-3.232042656325184
26,16,-23.917916086911013
26,17,-33.23622806431069
26,18,-33.23622806431069
26,19,-33.23622806431069
26,20,-33.23622806431069
26,21,-33.23622806431069
26,22,-33.23622806431069
26,23,10.991833142895253
26,24,20.310145120294926
26,25,-23.917916086911013
0,26,-27.796741316138487
1,26,-27.796741316138487
2,26,23.228583421088018
3,26,23.228583421088018
4,26,-27.796741316138487
5,26,-27.796741316138487
6,26,-7.3866114212478875
7,26,-27.796741316138487
8,26,-27.796741316138487
9,26,23.228583421088018
10,26,-3.232042656325184
11,26,23.228583421088018
12,26,-3.232042656325184
13,26,-27.79674131613849
14,26,-3.232042656325184
15,26,-3.232042656325184
16,26,-3.232042656325184
17,26,23.228583421088018
18,26,23.228583421088018
19,26,-3.232042656325184
20,26,-3.232042656325184
21,26,23.228583421088018
22,26,23.228583421088018
23,26,23.228583421088018
24,26,-3.232042656325184
25,26,-3.232042656325184
26,26,-3.232042656325184
27,0,-1.2866329594081
27,1,-51.67911514538183
27,2,-51.67911514538183
27,3,-3.693203206093476
27,4,-51.67911514538183
27,5,-51.67911514538183
27,6,5.912293067159576
27,7,-51.67911514538183
27,8,-51.67911514538183
27,9,-44.48018911881416
27,10,23.228583421088018
27,11,23.228583421088018
27,12,23.228583421088018
27,13,23.228583421088018
27,14,23.228583421088018
27,15,23.228583421088018
27,16,-23.917916086911013
27,17,-33.23622806431069
27,18,-33.23622806431069
27,19,85.99037445019783
27,20,85.99037445019783
27,21,-33.23622806431069
27,22,85.99037445019783
27,23,14.592596274258309
27,24,-51.67911514538183
27,25,19.7186630305577
27,26,23.228583421088018
0,27,-27.796741316138487
1,27,-27.796741316138487
2,27,23.228583421088018
3,27,18.126050947365368
4,27,-27.796741316138487
5,27,-27.796741316138487
6,27,-17.591676368693186
7,27,-17.591676368693186
8,27,-27.796741316138487
9,27,23.228583421088018
10,27,-3.232042656325184
11,27,23.228583421088018
12,27,-3.232042656325184
13,27,-27.79674131613849
14,27,-3.232042656325184
15,27,-3.232042656325184
16,27,-3.232042656325184
17,27,23.228583421088018
18,27,23.228583421088018
19,27,-3.232042656325184
20,27,-3.232042656325184
21,27,23.228583421088018
22,27,23.228583421088018
23,27,23.228583421088018
24,27,-3.232042656325184
25,27,-3.232042656325184
26,27,-3.232042656325184
27,27,23.228583421088018
28,0,-27.114416485568533
28,1,-27.114416485568533
28,2,-27.114416485568533
28,3,3.443257409868687
28,4,-27.114416485568533
28,5,-27.114416485568533
28,6,-27.114416485568533
28,7,-27.114416485568533
28,8,-27.114416485568533
28,9,-27.114416485568533
28,10,-3.232042656325184
28,11,-3.232042656325184
28,12,-3.232042656325184
28,13,-3.232042656325184
28,14,-3.232042656325184
28,15,-3.232042656325184
28,16,19.7186630305577
28,17,34.965049712971336
28,18,34.965049712971336
28,19,34.965049712971336
28,20,34.965049712971336
28,21,34.965049712971336
28,22,34.965049712971336
28,23,-36.4327284629682
28,24,-27.114416485568526
28,25,44.28336169037101
28,26,-3.232042656325184
28,27,-3.232042656325184
0,28,-4.254553539518381
1,28,-4.254553539518381
2,28,-51.67911514538183
3,28,-51.67911514538183
4,28,-4.254553539518381
5,28,-8.997009700104725
6,28,-8.997009700104726
7,28,-4.254553539518381
8,28,-4.254553539518381
9,28,-51.67911514538183
10,28,-27.114416485568526
11,28,-4.25455353951838
12,28,-27.114416485568526
13,28,-4.25455353951838
14,28,-27.114416485568526
15,28,-27.114416485568526
16,28,20.310145120294926
17,28,-4.25455353951838
18,28,-4.25455353951838
19,28,20.310145120294926
20,28,20.310145120294926
21,28,-4.25455353951838
22,28,-4.25455353951838
23,28,-51.67911514538183
24,28,20.310145120294926
25,28,-27.114416485568526
26,28,20.310145120294926
27,28,-51.67911514538183
28,28,-27.114416485568526
29,0,-27.114416485568533
29,1,-27.114416485568533
29,2,-27.114416485568533
29,3,-51.11776481195692
29,4,-27.114416485568533
29,5,-27.114416485568533
29,6,-27.114416485568533
29,7,-27.114416485568533
29,8,-27.114416485568533
29,9,-27.114416485568533
29,10,-3.232042656325184
29,11,-3.232042656325184
29,12,-3.232042656325184
29,13,-3.232042656325184
29,14,-3.232042656325184
29,15,-3.232042656325184
29,16,-23.917916086911013
29,17,17.78909667291582
29,18,17.78909667291582
29,19,17.78909667291582
29,20,17.78909667291582
29,21,17.78909667291582
29,22,17.78909667291582
29,23,14.592596274258309
29,24,-27.114416485568526
29,25,-23.917916086911013
29,26,-3.232042656325184
29,27,-3.232042656325184
29,28,-27.114416485568526
0,29,11.082675883727989
1,29,11.082675883727989
2,29,11.082675883727989
3,29,11.082675883727989
4,29,44.2798690078324
5,29,11.082675883727989
6,29,11.082675883727989
7,29,11.082675883727989
8,29,11.082675883727989
9,29,11.082675883727989
10,29,-9.694040287690576
11,29,-9.694040287690576
12,29,11.08267588372799
13,29,58.507237489591446
14,29,-57.11860189355403
15,29,-9.694040287690576
16,29,-9.694040287690576
17,29,-9.694040287690576
18,29,-9.694040287690576
19,29,-9.694040287690576
20,29,-9.694040287690576
21,29,-9.694040287690576
22,29,-9.694040287690576
23,29,-9.694040287690576
24,29,-9.694040287690576
25,29,-57.11860189355403
26,29,-9.694040287690576
27,29,-57.11860189355403
28,29,11.08267588372799
29,29,-57.11860189355403
30,0,-4.254553539518381
30,1,-4.254553539518381
30,2,-4.254553539518381
30,3,-9.150091612873357
30,4,-4.254553539518381
30,5,-4.254553539518381
30,6,-4.254553539518381
30,7,-4.254553539518381
30,8,-4.254553539518381
30,9,-4.254553539518381
30,10,23.228583421088018
30,11,23.228583421088018
30,12,23.228583421088018
30,13,23.228583421088018
30,14,23.228583421088018
30,15,23.228583421088018
30,16,-48.48261474672432
30,17,17.78909667291582
30,18,17.78909667291582
30,19,17.78909667291582
30,20,17.78909667291582
30,21,17.78909667291582
30,22,17.78909667291582
30,23,62.01715788012176
30,24,-4.25455353951838
30,25,-48.48261474672432
30,26,23.228583421088018
30,27,23.228583421088018
30,28,-4.25455353951838
30,29,-9.694040287690576
0,30,34.965049712971336
1,30,34.965049712971336
2,30,34.965049712971336
3,30,34.965049712971336
4,30,34.965049712971336
5,30,34.965049712971336
6,30,34.965049712971336
7,30,34.965049712971336
8,30,34.965049712971336
9,30,70.68277702902988
10,30,-33.23622806431069
11,30,17.78909667291582
12,30,34.965049712971336
13,30,34.965049712971336
14,30,17.78909667291582
15,30,-33.23622806431069
16,30,-33.23622806431069
17,30,17.78909667291582
18,30,-33.23622806431069
19,30,-33.23622806431069
20,30,-33.23622806431069
21,30,17.78909667291582
22,30,17.78909667291582
23,30,17.78909667291582
24,30,-33.23622806431069
25,30,17.78909667291582
26,30,-33.23622806431069
27,30,-33.23622806431069
28,30,34.965049712971336
29,30,17.78909667291582
30,30,17.78909667291582
31,0,-4.254553539518381
31,1,-4.254553539518381
31,2,-4.254553539518381
31,3,-9.150091612873357
31,4,-4.254553539518381
31,5,-4.254553539518381
31,6,-4.254553539518381
31,7,-4.254553539518381
31,8,-4.254553539518381
31,9,-4.254553539518381
31,10,-27.79674131613849
31,11,-27.79674131613849
31,12,-27.79674131613849
31,13,-27.79674131613849
31,14,-27.79674131613849
31,15,-27.79674131613849
31,16,19.7186630305577
31,17,34.965049712971336
31,18,34.965049712971336
31,19,34.965049712971336
31,20,34.965049712971336
31,21,34.965049712971336
31,22,34.965049712971336
31,23,10.991833142895253
31,24,-4.25455353951838
31,25,19.7186630305577
31,26,-27.79674131613849
31,27,-27.79674131613849
31,28,-4.25455353951838
31,29,58.507237489591446
31,30,34.965049712971336
0,31,19.718663030557703
1,31,19.718663030557703
2,31,19.718663030557703
3,31,19.718663030557703
4,31,19.718663030557703
5,31,19.718663030557703
6,31,19.718663030557703
7,31,19.718663030557703
8,31,19.718663030557703
9,31,19.718663030557703
10,31,-23.917916086911013
11,31,-48.48261474672432
12,31,-23.917916086911013
13,31,19.7186630305577
14,31,-23.917916086911013
15,31,-23.917916086911013
16,31,-23.917916086911013
17,31,-48.48261474672432
18,31,-48.48261474672432
19,31,-23.917916086911013
20,31,-23.917916086911013
21,31,-48.48261474672432
22,31,-48.48261474672432
23,31,19.7186630305577
24,31,-23.917916086911013
25,31,44.28336169037101
26,31,-23.917916086911013
27,31,19.7186630305577
28,31,44.28336169037101
29,31,-23.917916086911013
30,31,-48.48261474672432
31,31,19.7186630305577
32,0,-15.684485012543457
32,1,-27.114416485568533
32,2,-27.114416485568533
32,3,52.23105838668046
32,4,-27.114416485568533
32,5,-27.114416485568533
32,6,-4.254553539518381
32,7,-27.114416485568533
32,8,-27.114416485568533
32,9,-24.82843019096352
32,10,-3.232042656325184
32,11,-3.232042656325184
32,12,-3.232042656325184
32,13,-3.232042656325184
32,14,-3.232042656325184
32,15,-3.232042656325184
32,16,-48.48261474672432
32,17,17.78909667291582
32,18,17.78909667291582
32,19,34.965049712971336
32,20,34.965049712971336
32,21,17.78909667291582
32,22,34.965049712971336
32,23,-36.4327284629682
32,24,-27.114416485568526
32,25,44.28336169037101
32,26,-3.232042656325184
32,27,-3.232042656325184
32,28,-27.114416485568526
32,29,-57.11860189355403
32,30,17.78909667291582
32,31,44.28336169037101
0,32,19.718663030557703
1,32,19.718663030557703
2,32,19.718663030557703
3,32,19.718663030557703
4,32,19.718663030557703
5,32,19.718663030557703
6,32,19.718663030557703
7,32,19.718663030557703
8,32,19.718663030557703
9,32,19.718663030557703
10,32,-23.917916086911013
11,32,-48.48261474672432
12,32,-23.917916086911013
13,32,19.7186630305577
14,32,-23.917916086911013
15,32,-23.917916086911013
16,32,-23.917916086911013
17,32,-48.48261474672432
18,32,-48.48261474672432
19,32,-23.917916086911013
