iteration,action list,network estimate list,action chosen
35,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
36,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
37,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
38,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
39,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
40,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
41,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
42,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
43,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
44,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
45,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7371424436569214, -0.7448283433914185, -0.7338383793830872, -0.7317187786102295]","[0, 0, 0, 1]"
46,"[[1, 1, 0, 0], [1, 0, 1, 0], [1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 1, 1]]","[-0.7471254467964172, -0.7372952699661255, -0.7321264743804932, -0.7435780763626099, -0.7403389811515808, -0.7285662889480591]","[0, 0, 1, 1]"
47,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.7464578747749329, -0.7538509964942932, -0.7431279420852661, -0.7407913208007812]","[0, 0, 0, 1]"
