Defender Mixed Utility,Attacker Mixed Utility,Defender Oracle Utility (Avg. Over Training),Attacker Oracle Utility (Avg. over training),Avg. Defender Oracle Utility vs Mixed,Defender Oracle Correctness vs perfect play,Avg Score of Best Defender Pure Strategy,Avg. Attacker Oracle Utility vs Mixed,Attacker Oracle Correctness vs perfect play,Avg Score of Best Attacker Pure Strategy,,,,Attacker Oracle Correctness vs perfect play,Defender Utility during attacker Oracle,,,,100
-29.14759958,29.14759958,-4.8061929,-16.35691762,-29.72325591,0.42,-26.75391737,28.21292241,0.3333333,32.35648975,,,,0.003333333,-28.21292241,,,,
-29.14759958,29.14759958,-11.52047692,-6.523049653,-32.83814509,0.5,-25.99192538,19.61057727,16,32.59729606,,,,0.16,-19.61057727,,,,
-29.14759958,29.14759958,-5.41393786,-16.35683556,-18.58862443,0.65,-19.91208868,22.52639883,17,32.51730264,,,,0.17,-22.52639883,,,,
-29.14504241,29.14504241,-2.352138888,-16.3567282,-29.86948724,0.306666667,-27.34476167,20.25853762,15.6666667,33.00728525,,,,0.156666667,-20.25853762,,,,
-29.14504241,29.14504241,-14.27828978,-16.35495132,-27.37612168,0.313333333,-25.8006611,29.67804728,0.6666667,37.8955194,,,,0.006666667,-29.67804728,,,,
-29.14504241,29.14504241,-5.700594099,-15.33667684,-30.13015394,0.333333333,-25.28864091,23.82231953,19,34.16775359,,,,0.19,-23.82231953,,,,
-29.14504241,29.14504241,-3.614501527,-7.229003187,-39.54376296,0.42,-26.98826702,27.70526104,1.6666667,32.59729606,,,,0.016666667,-27.70526104,,,,
-29.14504241,29.14504241,-15.20230175,-16.35692583,-34.02496447,0.313333333,-25.9847186,27.41573517,1.3333333,35.95385218,,,,0.013333333,-27.41573517,,,,
-29.14504241,29.14504241,-18.2031791,-5.511135597,-31.27140779,0.286666667,-26.80289812,22.20241866,17,34.70123928,,,,0.17,-22.20241866,,,,
-29.14504241,29.14504241,-9.897273613,-16.24867285,-32.798503,0.373333333,-26.58204904,22.52639883,19,31.44761461,,,,0.19,-22.52639883,,,,
-29.14504241,29.14504241,-8.667792634,2.686327155,-36.40091229,0.28,-25.49319985,22.20241866,18.3333333,34.20130993,,,,0.183333333,-22.20241866,,,,
-29.14504241,29.14504241,-22.60509193,-6.434733218,-27.53949286,0.376666667,-24.95247408,32.70063458,1.6666667,31.46282062,,,,0.016666667,-32.70063458,,,,
-29.14504241,29.14504241,-9.794072798,-16.35501261,-29.15908407,0.3,-26.90158331,23.17435918,16.3333333,32.4317426,,,,0.163333333,-23.17435918,,,,
-29.14504241,29.14504241,-12.86339253,-16.24569323,-31.72202743,0.37,-26.38529665,20.25853762,16.6666667,33.37263852,,,,0.166666667,-20.25853762,,,,
