defender rewards,defender penalties
[44.75014742 17.26701046 41.24022703  3.04313466],[ 6.27517732 30.15755115 26.96105075 21.521564  ]
iteration,action list,network estimate list,action chosen,opponent action
136,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06273515522480011, -0.06273515522480011, -0.06273515522480011, -0.06273515522480011]","[1, 0, 0, 0]","[0, 1, 1, 0]"
137,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06274484843015671, -0.06274484843015671, -0.06274484843015671]","[0, 1, 0, 0]","[0, 1, 1, 0]"
138,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0627545565366745, -0.0627545565366745]","[0, 0, 1, 0]","[0, 0, 1, 0]"
139,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06276437640190125, -0.06276437640190125, -0.06276437640190125, -0.06276437640190125]","[1, 0, 0, 0]","[0, 1, 1, 0]"
140,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0627741813659668, -0.0627741813659668, -0.0627741813659668]","[0, 1, 0, 0]","[0, 1, 1, 0]"
141,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06278379261493683, -0.06278379261493683]","[0, 0, 1, 0]","[0, 0, 1, 0]"
142,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0627933070063591, -0.0627933070063591, -0.0627933070063591, -0.0627933070063591]","[1, 0, 0, 0]","[0, 1, 1, 0]"
143,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06280293315649033, -0.06280293315649033, -0.06280293315649033]","[0, 1, 0, 0]","[0, 1, 1, 0]"
144,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06281251460313797, -0.06281251460313797]","[0, 0, 1, 0]","[0, 0, 1, 0]"
145,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06282209604978561, -0.06282209604978561, -0.06282209604978561, -0.06282209604978561]","[1, 0, 0, 0]","[0, 1, 1, 0]"
146,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06283171474933624, -0.06283171474933624, -0.06283171474933624]","[0, 1, 0, 0]","[0, 1, 1, 0]"
147,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06284121423959732, -0.06284121423959732]","[0, 0, 1, 0]","[0, 0, 1, 0]"
148,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06285065412521362, -0.06285065412521362, -0.06285065412521362, -0.06285065412521362]","[1, 0, 0, 0]","[0, 1, 1, 0]"
149,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06286029517650604, -0.06286029517650604, -0.06286029517650604]","[0, 1, 0, 0]","[0, 1, 1, 0]"
150,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06286998838186264, -0.06286998838186264]","[0, 0, 1, 0]","[0, 0, 1, 0]"
151,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06287982314825058, -0.06287982314825058, -0.06287982314825058, -0.06287982314825058]","[1, 0, 0, 0]","[0, 1, 1, 0]"
152,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.062889464199543, -0.062889464199543, -0.062889464199543]","[0, 1, 0, 0]","[0, 1, 1, 0]"
153,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06289897859096527, -0.06289897859096527]","[0, 0, 1, 0]","[0, 0, 1, 0]"
154,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06290868669748306, -0.06290868669748306, -0.06290868669748306, -0.06290868669748306]","[1, 0, 0, 0]","[0, 1, 1, 0]"
155,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0629185140132904, -0.0629185140132904, -0.0629185140132904]","[0, 1, 0, 0]","[0, 1, 1, 0]"
156,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06292847543954849, -0.06292847543954849]","[0, 0, 1, 0]","[0, 0, 1, 0]"
157,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06293835490942001, -0.06293835490942001, -0.06293835490942001, -0.06293835490942001]","[1, 0, 0, 0]","[0, 1, 1, 0]"
158,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0629480853676796, -0.0629480853676796, -0.0629480853676796]","[0, 1, 0, 0]","[0, 1, 1, 0]"
159,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06295783817768097, -0.06295783817768097]","[0, 0, 1, 0]","[0, 0, 1, 0]"
160,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06296753138303757, -0.06296753138303757, -0.06296753138303757, -0.06296753138303757]","[1, 0, 0, 0]","[0, 1, 1, 0]"
161,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06297722458839417, -0.06297722458839417, -0.06297722458839417]","[0, 1, 0, 0]","[0, 1, 1, 0]"
162,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0629870668053627, -0.0629870668053627]","[0, 0, 1, 0]","[0, 0, 1, 0]"
163,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06299696862697601, -0.06299696862697601, -0.06299696862697601, -0.06299696862697601]","[1, 0, 0, 0]","[0, 1, 1, 0]"
164,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0630069449543953, -0.0630069449543953, -0.0630069449543953]","[0, 1, 0, 0]","[0, 1, 1, 0]"
165,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06301689147949219, -0.06301689147949219]","[0, 0, 1, 0]","[0, 0, 1, 0]"
166,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06302675604820251, -0.06302675604820251, -0.06302675604820251, -0.06302675604820251]","[1, 0, 0, 0]","[0, 1, 1, 0]"
167,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06303655356168747, -0.06303655356168747, -0.06303655356168747]","[0, 1, 0, 0]","[0, 1, 1, 0]"
168,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0630461573600769, -0.0630461573600769]","[0, 0, 1, 0]","[0, 0, 1, 0]"
169,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06305569410324097, -0.06305569410324097, -0.06305569410324097, -0.06305569410324097]","[1, 0, 0, 0]","[0, 1, 1, 0]"
170,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06306517124176025, -0.06306517124176025, -0.06306517124176025]","[0, 1, 0, 0]","[0, 1, 1, 0]"
171,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06307472288608551, -0.06307472288608551]","[0, 0, 1, 0]","[0, 0, 1, 0]"
172,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06308428943157196, -0.06308428943157196, -0.06308428943157196, -0.06308428943157196]","[1, 0, 0, 0]","[0, 1, 1, 0]"
173,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06309384107589722, -0.06309384107589722, -0.06309384107589722]","[0, 1, 0, 0]","[0, 1, 1, 0]"
174,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06310374289751053, -0.06310374289751053]","[0, 0, 1, 0]","[0, 0, 1, 0]"
175,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06311361491680145, -0.06311361491680145, -0.06311361491680145, -0.06311361491680145]","[1, 0, 0, 0]","[0, 1, 1, 0]"
176,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06312359869480133, -0.06312359869480133, -0.06312359869480133]","[0, 1, 0, 0]","[0, 1, 1, 0]"
177,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06313373148441315, -0.06313373148441315]","[0, 0, 1, 0]","[0, 0, 1, 0]"
178,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.063143789768219, -0.063143789768219, -0.063143789768219, -0.063143789768219]","[1, 0, 0, 0]","[0, 1, 1, 0]"
179,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06315378099679947, -0.06315378099679947, -0.06315378099679947]","[0, 1, 0, 0]","[0, 1, 1, 0]"
180,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06316366791725159, -0.06316366791725159]","[0, 0, 1, 0]","[0, 0, 1, 0]"
181,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06317365914583206, -0.06317365914583206, -0.06317365914583206, -0.06317365914583206]","[1, 0, 0, 0]","[0, 1, 1, 0]"
182,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06318364292383194, -0.06318364292383194, -0.06318364292383194]","[0, 1, 0, 0]","[0, 1, 1, 0]"
183,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06319354474544525, -0.06319354474544525]","[0, 0, 1, 0]","[0, 0, 1, 0]"
184,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06320340186357498, -0.06320340186357498, -0.06320340186357498, -0.06320340186357498]","[1, 0, 0, 0]","[0, 1, 1, 0]"
185,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06321334093809128, -0.06321334093809128, -0.06321334093809128]","[0, 1, 0, 0]","[0, 1, 1, 0]"
186,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06322333216667175, -0.06322333216667175]","[0, 0, 1, 0]","[0, 0, 1, 0]"
187,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06323328614234924, -0.06323328614234924, -0.06323328614234924, -0.06323328614234924]","[1, 0, 0, 0]","[0, 1, 1, 0]"
188,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06324334442615509, -0.06324334442615509, -0.06324334442615509]","[0, 1, 0, 0]","[0, 1, 1, 0]"
189,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06325351446866989, -0.06325351446866989]","[0, 0, 1, 0]","[0, 0, 1, 0]"
190,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06326373666524887, -0.06326373666524887, -0.06326373666524887, -0.06326373666524887]","[1, 0, 0, 0]","[0, 1, 1, 0]"
191,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06327405571937561, -0.06327405571937561, -0.06327405571937561]","[0, 1, 0, 0]","[0, 1, 1, 0]"
192,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06328468769788742, -0.06328468769788742]","[0, 0, 1, 0]","[0, 0, 1, 0]"
193,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06329536437988281, -0.06329536437988281, -0.06329536437988281, -0.06329536437988281]","[1, 0, 0, 0]","[0, 1, 1, 0]"
194,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06330601125955582, -0.06330601125955582, -0.06330601125955582]","[0, 1, 0, 0]","[0, 1, 1, 0]"
195,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.063316710293293, -0.063316710293293]","[0, 0, 1, 0]","[0, 0, 1, 0]"
196,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06332749873399734, -0.06332749873399734, -0.06332749873399734, -0.06332749873399734]","[1, 0, 0, 0]","[0, 1, 1, 0]"
197,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06333813816308975, -0.06333813816308975, -0.06333813816308975]","[0, 1, 0, 0]","[0, 1, 1, 0]"
198,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06334870308637619, -0.06334870308637619]","[0, 0, 1, 0]","[0, 0, 1, 0]"
199,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06335923820734024, -0.06335923820734024, -0.06335923820734024, -0.06335923820734024]","[1, 0, 0, 0]","[0, 1, 1, 0]"
200,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06336981058120728, -0.06336981058120728, -0.06336981058120728]","[0, 1, 0, 0]","[0, 1, 1, 0]"
201,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06338053941726685, -0.06338053941726685]","[0, 0, 1, 0]","[0, 0, 1, 0]"
202,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06339099258184433, -0.06339099258184433, -0.06339099258184433, -0.06339099258184433]","[1, 0, 0, 0]","[0, 1, 1, 0]"
203,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06340135633945465, -0.06340135633945465, -0.06340135633945465]","[0, 1, 0, 0]","[0, 1, 1, 0]"
204,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06341174244880676, -0.06341174244880676]","[0, 0, 1, 0]","[0, 0, 1, 0]"
205,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06342209875583649, -0.06342209875583649, -0.06342209875583649, -0.06342209875583649]","[1, 0, 0, 0]","[0, 1, 1, 0]"
206,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06343243271112442, -0.06343243271112442, -0.06343243271112442]","[0, 1, 0, 0]","[0, 1, 1, 0]"
207,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06344278901815414, -0.06344278901815414]","[0, 0, 1, 0]","[0, 0, 1, 0]"
208,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06345324218273163, -0.06345324218273163, -0.06345324218273163, -0.06345324218273163]","[1, 0, 0, 0]","[0, 1, 1, 0]"
209,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06346393376588821, -0.06346393376588821, -0.06346393376588821]","[0, 1, 0, 0]","[0, 1, 1, 0]"
210,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06347478926181793, -0.06347478926181793]","[0, 0, 1, 0]","[0, 0, 1, 0]"
211,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06348545849323273, -0.06348545849323273, -0.06348545849323273, -0.06348545849323273]","[1, 0, 0, 0]","[0, 1, 1, 0]"
212,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06349611282348633, -0.06349611282348633, -0.06349611282348633]","[0, 1, 0, 0]","[0, 1, 1, 0]"
213,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06350690871477127, -0.06350690871477127]","[0, 0, 1, 0]","[0, 0, 1, 0]"
214,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06351762264966965, -0.06351762264966965, -0.06351762264966965, -0.06351762264966965]","[1, 0, 0, 0]","[0, 1, 1, 0]"
215,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06352841854095459, -0.06352841854095459, -0.06352841854095459]","[0, 1, 0, 0]","[0, 1, 1, 0]"
216,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06353913247585297, -0.06353913247585297]","[0, 0, 1, 0]","[0, 0, 1, 0]"
217,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06354964524507523, -0.06354964524507523, -0.06354964524507523, -0.06354964524507523]","[1, 0, 0, 0]","[0, 1, 1, 0]"
218,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06356003135442734, -0.06356003135442734, -0.06356003135442734]","[0, 1, 0, 0]","[0, 1, 1, 0]"
219,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06357025355100632, -0.06357025355100632]","[0, 0, 1, 0]","[0, 0, 1, 0]"
220,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06358030438423157, -0.06358030438423157, -0.06358030438423157, -0.06358030438423157]","[1, 0, 0, 0]","[0, 1, 1, 0]"
221,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06359037756919861, -0.06359037756919861, -0.06359037756919861]","[0, 1, 0, 0]","[0, 1, 1, 0]"
222,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06360047310590744, -0.06360047310590744]","[0, 0, 1, 0]","[0, 0, 1, 0]"
223,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0636105090379715, -0.0636105090379715, -0.0636105090379715, -0.0636105090379715]","[1, 0, 0, 0]","[0, 1, 1, 0]"
224,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06362047046422958, -0.06362047046422958, -0.06362047046422958]","[0, 1, 0, 0]","[0, 1, 1, 0]"
225,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06363028287887573, -0.06363028287887573]","[0, 0, 1, 0]","[0, 0, 1, 0]"
226,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06364014744758606, -0.06364014744758606, -0.06364014744758606, -0.06364014744758606]","[1, 0, 0, 0]","[0, 1, 1, 0]"
227,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06365000456571579, -0.06365000456571579, -0.06365000456571579]","[0, 1, 0, 0]","[0, 1, 1, 0]"
228,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06366005539894104, -0.06366005539894104]","[0, 0, 1, 0]","[0, 0, 1, 0]"
229,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06366991996765137, -0.06366991996765137, -0.06366991996765137, -0.06366991996765137]","[1, 0, 0, 0]","[0, 1, 1, 0]"
230,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0636795163154602, -0.0636795163154602, -0.0636795163154602]","[0, 1, 0, 0]","[0, 1, 1, 0]"
231,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06368934363126755, -0.06368934363126755]","[0, 0, 1, 0]","[0, 0, 1, 0]"
232,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06369918584823608, -0.06369918584823608, -0.06369918584823608, -0.06369918584823608]","[1, 0, 0, 0]","[0, 1, 1, 0]"
233,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06370878964662552, -0.06370878964662552, -0.06370878964662552]","[0, 1, 0, 0]","[0, 1, 1, 0]"
234,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06371831148862839, -0.06371831148862839]","[0, 0, 1, 0]","[0, 0, 1, 0]"
235,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06372788548469543, -0.06372788548469543, -0.06372788548469543, -0.06372788548469543]","[1, 0, 0, 0]","[0, 1, 1, 0]"
236,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06373748183250427, -0.06373748183250427, -0.06373748183250427]","[0, 1, 0, 0]","[0, 1, 1, 0]"
237,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06374707818031311, -0.06374707818031311]","[0, 0, 1, 0]","[0, 0, 1, 0]"
238,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06375666707754135, -0.06375666707754135, -0.06375666707754135, -0.06375666707754135]","[1, 0, 0, 0]","[0, 1, 1, 0]"
239,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06376630067825317, -0.06376630067825317, -0.06376630067825317]","[0, 1, 0, 0]","[0, 1, 1, 0]"
240,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06377585232257843, -0.06377585232257843]","[0, 0, 1, 0]","[0, 0, 1, 0]"
241,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06378540396690369, -0.06378540396690369, -0.06378540396690369, -0.06378540396690369]","[1, 0, 0, 0]","[0, 1, 1, 0]"
242,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06379518657922745, -0.06379518657922745, -0.06379518657922745]","[0, 1, 0, 0]","[0, 1, 1, 0]"
243,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0638049989938736, -0.0638049989938736]","[0, 0, 1, 0]","[0, 0, 1, 0]"
244,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06381483376026154, -0.06381483376026154, -0.06381483376026154, -0.06381483376026154]","[1, 0, 0, 0]","[0, 1, 1, 0]"
245,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06382456421852112, -0.06382456421852112, -0.06382456421852112]","[0, 1, 0, 0]","[0, 1, 1, 0]"
246,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06383443623781204, -0.06383443623781204]","[0, 0, 1, 0]","[0, 0, 1, 0]"
247,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06384432315826416, -0.06384432315826416, -0.06384432315826416, -0.06384432315826416]","[1, 0, 0, 0]","[0, 1, 1, 0]"
248,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06385443359613419, -0.06385443359613419, -0.06385443359613419]","[0, 1, 0, 0]","[0, 1, 1, 0]"
249,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06386454403400421, -0.06386454403400421]","[0, 0, 1, 0]","[0, 0, 1, 0]"
250,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06387484818696976, -0.06387484818696976, -0.06387484818696976, -0.06387484818696976]","[1, 0, 0, 0]","[0, 1, 1, 0]"
251,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06388525664806366, -0.06388525664806366, -0.06388525664806366]","[0, 1, 0, 0]","[0, 1, 1, 0]"
252,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06389552354812622, -0.06389552354812622]","[0, 0, 1, 0]","[0, 0, 1, 0]"
253,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0639057382941246, -0.0639057382941246, -0.0639057382941246, -0.0639057382941246]","[1, 0, 0, 0]","[0, 1, 1, 0]"
254,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06391593813896179, -0.06391593813896179, -0.06391593813896179]","[0, 1, 0, 0]","[0, 1, 1, 0]"
255,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06392617523670197, -0.06392617523670197]","[0, 0, 1, 0]","[0, 0, 1, 0]"
256,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06393638998270035, -0.06393638998270035, -0.06393638998270035, -0.06393638998270035]","[1, 0, 0, 0]","[0, 1, 1, 0]"
257,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06394664198160172, -0.06394664198160172, -0.06394664198160172]","[0, 1, 0, 0]","[0, 1, 1, 0]"
258,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06395699828863144, -0.06395699828863144]","[0, 0, 1, 0]","[0, 0, 1, 0]"
259,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06396742165088654, -0.06396742165088654, -0.06396742165088654, -0.06396742165088654]","[1, 0, 0, 0]","[0, 1, 1, 0]"
260,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06397780776023865, -0.06397780776023865, -0.06397780776023865]","[0, 1, 0, 0]","[0, 1, 1, 0]"
261,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0639880821108818, -0.0639880821108818]","[0, 0, 1, 0]","[0, 0, 1, 0]"
262,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06399845331907272, -0.06399845331907272, -0.06399845331907272, -0.06399845331907272]","[1, 0, 0, 0]","[0, 1, 1, 0]"
263,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06400899589061737, -0.06400899589061737, -0.06400899589061737]","[0, 1, 0, 0]","[0, 1, 1, 0]"
264,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06401948630809784, -0.06401948630809784]","[0, 0, 1, 0]","[0, 0, 1, 0]"
265,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06403008103370667, -0.06403008103370667, -0.06403008103370667, -0.06403008103370667]","[1, 0, 0, 0]","[0, 1, 1, 0]"
266,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06404059380292892, -0.06404059380292892, -0.06404059380292892]","[0, 1, 0, 0]","[0, 1, 1, 0]"
267,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06405118107795715, -0.06405118107795715]","[0, 0, 1, 0]","[0, 0, 1, 0]"
268,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06406186521053314, -0.06406186521053314, -0.06406186521053314, -0.06406186521053314]","[1, 0, 0, 0]","[0, 1, 1, 0]"
269,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.0640721395611763, -0.0640721395611763, -0.0640721395611763]","[0, 1, 0, 0]","[0, 1, 1, 0]"
270,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06408246606588364, -0.06408246606588364]","[0, 0, 1, 0]","[0, 0, 1, 0]"
271,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06409277766942978, -0.06409277766942978, -0.06409277766942978, -0.06409277766942978]","[1, 0, 0, 0]","[0, 1, 1, 0]"
272,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06410300731658936, -0.06410300731658936, -0.06410300731658936]","[0, 1, 0, 0]","[0, 1, 1, 0]"
