defender rewards,defender penalties
[44.75014742 17.26701046 41.24022703  3.04313466],[ 6.27517732 30.15755115 26.96105075 21.521564  ]
iteration,action list,network estimate list,action chosen,opponent action
31,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
32,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
33,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
34,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
35,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
36,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
37,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
38,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
39,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
40,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
41,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
42,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
43,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
44,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
45,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
46,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
47,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
48,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]","[0, 0, 1, 0]"
49,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]","[0, 1, 1, 0]"
50,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]","[0, 1, 1, 0]"
51,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06189282238483429, -0.06189282238483429]","[0, 0, 1, 0]","[0, 0, 1, 0]"
52,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06190282851457596, -0.06190282851457596, -0.06190282851457596, -0.06190282851457596]","[1, 0, 0, 0]","[0, 1, 1, 0]"
53,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06191280111670494, -0.06191280111670494, -0.06191280111670494]","[0, 1, 0, 0]","[0, 1, 1, 0]"
54,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06192278489470482, -0.06192278489470482]","[0, 0, 1, 0]","[0, 0, 1, 0]"
55,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.061932798475027084, -0.061932798475027084, -0.061932798475027084, -0.061932798475027084]","[1, 0, 0, 0]","[0, 1, 1, 0]"
