iteration,action list,network estimate list,action chosen
37,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
38,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
39,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
40,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
41,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
42,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
43,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
44,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
45,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
46,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
47,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
48,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17397518455982208, 0.173271045088768]","[0, 0, 1, 0]"
49,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17614085972309113, 0.1737082302570343, 0.17391228675842285, 0.17468176782131195]","[1, 0, 0, 0]"
50,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1803673505783081, 0.1803673505783081, 0.1803673505783081]","[0, 1, 0, 0]"
51,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.18136735260486603, 0.18136735260486603]","[0, 0, 1, 0]"
52,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.18073198199272156, 0.18073198199272156, 0.18073198199272156, 0.18073198199272156]","[1, 0, 0, 0]"
53,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.18034091591835022, 0.18034091591835022, 0.18034091591835022]","[0, 1, 0, 0]"
54,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.18010927736759186, 0.18010927736759186]","[0, 0, 1, 0]"
55,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17958912253379822, 0.17958912253379822, 0.17958912253379822, 0.17958912253379822]","[1, 0, 0, 0]"
56,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17901302874088287, 0.17901302874088287, 0.17901302874088287]","[0, 1, 0, 0]"
57,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17856353521347046, 0.17856353521347046]","[0, 0, 1, 0]"
58,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17795896530151367, 0.17795896530151367, 0.17795896530151367, 0.17795896530151367]","[1, 0, 0, 0]"
59,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1772528886795044, 0.1772528886795044, 0.1772528886795044]","[0, 1, 0, 0]"
60,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1764746755361557, 0.1764746755361557]","[0, 0, 1, 0]"
61,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17580968141555786, 0.17580968141555786, 0.17580968141555786, 0.17580968141555786]","[1, 0, 0, 0]"
62,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17506937682628632, 0.17506937682628632, 0.17506937682628632]","[0, 1, 0, 0]"
63,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1743316948413849, 0.1743316948413849]","[0, 0, 1, 0]"
64,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17353413999080658, 0.17353413999080658, 0.17353413999080658, 0.17353413999080658]","[1, 0, 0, 0]"
65,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17268922924995422, 0.17268922924995422, 0.17268922924995422]","[0, 1, 0, 0]"
66,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.17186160385608673, 0.17186160385608673]","[0, 0, 1, 0]"
67,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.17099156975746155, 0.17099156975746155, 0.17099156975746155, 0.17099156975746155]","[1, 0, 0, 0]"
68,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1701420396566391, 0.1701420396566391, 0.1701420396566391]","[0, 1, 0, 0]"
69,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.16939528286457062, 0.16939528286457062]","[0, 0, 1, 0]"
70,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.1687408834695816, 0.1687408834695816, 0.1687408834695816, 0.1687408834695816]","[1, 0, 0, 0]"
71,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16817107796669006, 0.16817107796669006, 0.16817107796669006]","[0, 1, 0, 0]"
72,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.16751961410045624, 0.16751961410045624]","[0, 0, 1, 0]"
73,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16695059835910797, 0.16695059835910797, 0.16695059835910797, 0.16695059835910797]","[1, 0, 0, 0]"
74,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16645745933055878, 0.16645745933055878, 0.16645745933055878]","[0, 1, 0, 0]"
75,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1658719778060913, 0.1658719778060913]","[0, 0, 1, 0]"
76,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.165208101272583, 0.165208101272583, 0.165208101272583, 0.165208101272583]","[1, 0, 0, 0]"
77,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16462713479995728, 0.16462713479995728, 0.16462713479995728]","[0, 1, 0, 0]"
78,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.16396814584732056, 0.16396814584732056]","[0, 0, 1, 0]"
79,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.16330814361572266, 0.16330814361572266, 0.16330814361572266, 0.16330814361572266]","[1, 0, 0, 0]"
