iteration,action list,network estimate list,action chosen
32,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
33,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
34,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
35,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
36,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
37,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
38,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
39,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
40,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
41,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
42,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
43,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
44,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
45,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
46,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
47,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
48,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322]","[0, 0, 1, 0]"
49,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[1, 0, 0, 0]"
50,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06188282370567322, -0.06188282370567322, -0.06188282370567322]","[0, 1, 0, 0]"
51,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06288282573223114, -0.06288282573223114]","[0, 0, 1, 0]"
52,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06388383358716965, -0.06388383358716965, -0.06388383358716965, -0.06388383358716965]","[1, 0, 0, 0]"
53,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06488347053527832, -0.06488347053527832, -0.06488347053527832]","[0, 1, 0, 0]"
54,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06588246673345566, -0.06588246673345566]","[0, 0, 1, 0]"
55,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06688094139099121, -0.06688094139099121, -0.06688094139099121, -0.06688094139099121]","[1, 0, 0, 0]"
56,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06788273900747299, -0.06788273900747299, -0.06788273900747299]","[0, 1, 0, 0]"
57,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06888443976640701, -0.06888443976640701]","[0, 0, 1, 0]"
58,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.06988842040300369, -0.06988842040300369, -0.06988842040300369, -0.06988842040300369]","[1, 0, 0, 0]"
